section,value,count
format_distribution,docx,65
format_distribution,pdf,35
language_distribution,tr,60
language_distribution,en,25
language_distribution,mixed,15
difficulty_distribution,medium,45
difficulty_distribution,hard,25
difficulty_distribution,easy,30
template_distribution,linkedin_plain,12
template_distribution,table_heavy_dense,12
template_distribution,academic_long,8
template_distribution,project_portfolio_focused,12
template_distribution,modern_two_column,18
template_distribution,chronological,25
template_distribution,minimal_one_page,8
template_distribution,freelance_case_study,5
role_family_distribution,İnsan kaynakları / Talent acquisition,7
role_family_distribution,Tasarım / İçerik / Medya,6
role_family_distribution,Yazılım / Backend / Full-stack,10
role_family_distribution,Sağlık / Laboratuvar / Klinik operasyon,8
role_family_distribution,Finans / Muhasebe / Denetim,8
role_family_distribution,Eğitim / Akademi / Öğretmenlik,7
role_family_distribution,Veri / ML / AI / Analitik,12
role_family_distribution,Hukuk / Uyum / KVKK-GDPR,5
role_family_distribution,Satış / Pazarlama / CRM,8
role_family_distribution,Ürün / Proje / İş analizi,8
role_family_distribution,Mühendislik / Üretim / Kalite,6
role_family_distribution,Lojistik / Tedarik zinciri / Operasyon,7
role_family_distribution,DevOps / Siber güvenlik / QA,8
title_group_distribution,mid,34
title_group_distribution,junior,18
title_group_distribution,intern_new_grad,10
title_group_distribution,senior,24
title_group_distribution,manager,6
title_group_distribution,lead,8
