run,metadata_field,value,precision,recall,f1
BL-1_Qwen2.5-7B-Instruct,cv_language,en,0.9494,0.8267,0.8838
BL-1_Qwen2.5-7B-Instruct,cv_language,mixed,0.9601,0.8297,0.8902
BL-1_Qwen2.5-7B-Instruct,cv_language,tr,0.9493,0.813,0.8759
BL-1_Qwen2.5-7B-Instruct,difficulty,easy,0.9509,0.8414,0.8928
BL-1_Qwen2.5-7B-Instruct,difficulty,hard,0.9233,0.7357,0.8189
BL-1_Qwen2.5-7B-Instruct,difficulty,medium,0.966,0.8536,0.9063
BL-1_Qwen2.5-7B-Instruct,file_format,docx,0.9574,0.8333,0.8911
BL-1_Qwen2.5-7B-Instruct,file_format,pdf,0.9378,0.7912,0.8583
BL-1_Qwen2.5-7B-Instruct,role_family,data_ml_ai_analytics,0.9684,0.799,0.8755
BL-1_Qwen2.5-7B-Instruct,role_family,design_content_media,0.9859,0.7143,0.8284
BL-1_Qwen2.5-7B-Instruct,role_family,devops_cyber_qa,0.9406,0.7687,0.846
BL-1_Qwen2.5-7B-Instruct,role_family,education_academia,0.9176,0.8125,0.8619
BL-1_Qwen2.5-7B-Instruct,role_family,engineering_manufacturing_quality,0.9921,0.9403,0.9655
BL-1_Qwen2.5-7B-Instruct,role_family,finance_accounting_audit,0.967,0.8402,0.8991
BL-1_Qwen2.5-7B-Instruct,role_family,health_lab_clinical_ops,0.9643,0.8326,0.8936
BL-1_Qwen2.5-7B-Instruct,role_family,hr_talent,0.939,0.88,0.9086
BL-1_Qwen2.5-7B-Instruct,role_family,legal_compliance,0.9583,0.7986,0.8712
BL-1_Qwen2.5-7B-Instruct,role_family,logistics_supply_ops,0.9548,0.9024,0.9279
BL-1_Qwen2.5-7B-Instruct,role_family,product_project_ba,0.9617,0.7913,0.8683
BL-1_Qwen2.5-7B-Instruct,role_family,sales_marketing_crm,0.9403,0.8915,0.9153
BL-1_Qwen2.5-7B-Instruct,role_family,software_backend_fullstack,0.8926,0.7742,0.8292
BL-1_Qwen2.5-7B-Instruct,seniority,intern_new_grad,0.9441,0.845,0.8918
BL-1_Qwen2.5-7B-Instruct,seniority,junior,0.9185,0.7799,0.8435
BL-1_Qwen2.5-7B-Instruct,seniority,lead,0.9573,0.8058,0.875
BL-1_Qwen2.5-7B-Instruct,seniority,manager,0.9611,0.7936,0.8693
BL-1_Qwen2.5-7B-Instruct,seniority,mid,0.9691,0.8511,0.9062
BL-1_Qwen2.5-7B-Instruct,seniority,senior,0.9454,0.8104,0.8727
BL-1_Qwen2.5-7B-Instruct,template_type,academic_long,0.9565,0.7306,0.8285
BL-1_Qwen2.5-7B-Instruct,template_type,chronological,0.9593,0.8631,0.9087
