run,metadata_field,value,precision,recall,f1
SYS-B_DeepSeek-R1-Distill-Qwen-32B,cv_language,en,0.7641,0.7912,0.7774
SYS-B_DeepSeek-R1-Distill-Qwen-32B,cv_language,mixed,0.883,0.8944,0.8887
SYS-B_DeepSeek-R1-Distill-Qwen-32B,cv_language,tr,0.826,0.8488,0.8373
SYS-B_DeepSeek-R1-Distill-Qwen-32B,difficulty,easy,0.8342,0.8476,0.8409
SYS-B_DeepSeek-R1-Distill-Qwen-32B,difficulty,hard,0.7562,0.8011,0.778
SYS-B_DeepSeek-R1-Distill-Qwen-32B,difficulty,medium,0.8476,0.8613,0.8544
SYS-B_DeepSeek-R1-Distill-Qwen-32B,file_format,docx,0.8368,0.8572,0.8469
SYS-B_DeepSeek-R1-Distill-Qwen-32B,file_format,pdf,0.787,0.8142,0.8004
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,data_ml_ai_analytics,0.8575,0.8642,0.8609
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,design_content_media,0.7192,0.7449,0.7318
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,devops_cyber_qa,0.8877,0.8214,0.8533
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,education_academia,0.8646,0.8646,0.8646
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,engineering_manufacturing_quality,0.8239,0.8731,0.8478
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,finance_accounting_audit,0.8379,0.8689,0.8531
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,health_lab_clinical_ops,0.8256,0.805,0.8152
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,hr_talent,0.8246,0.8057,0.815
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,legal_compliance,0.9236,0.9236,0.9236
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,logistics_supply_ops,0.8258,0.8963,0.8596
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,product_project_ba,0.7537,0.8071,0.7795
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,sales_marketing_crm,0.7344,0.8349,0.7815
SYS-B_DeepSeek-R1-Distill-Qwen-32B,role_family,software_backend_fullstack,0.7919,0.8562,0.8228
SYS-B_DeepSeek-R1-Distill-Qwen-32B,seniority,intern_new_grad,0.6847,0.76,0.7204
SYS-B_DeepSeek-R1-Distill-Qwen-32B,seniority,junior,0.7907,0.8239,0.807
SYS-B_DeepSeek-R1-Distill-Qwen-32B,seniority,lead,0.8225,0.8165,0.8195
SYS-B_DeepSeek-R1-Distill-Qwen-32B,seniority,manager,0.8859,0.8534,0.8693
SYS-B_DeepSeek-R1-Distill-Qwen-32B,seniority,mid,0.8413,0.8824,0.8614
SYS-B_DeepSeek-R1-Distill-Qwen-32B,seniority,senior,0.8307,0.8327,0.8317
SYS-B_DeepSeek-R1-Distill-Qwen-32B,template_type,academic_long,0.9038,0.8672,0.8851
SYS-B_DeepSeek-R1-Distill-Qwen-32B,template_type,chronological,0.8265,0.8265,0.8265
SYS-B_DeepSeek-R1-Distill-Qwen-32B,template_type,freelance_case_study,0.9412,0.8571,0.8972
SYS-B_DeepSeek-R1-Distill-Qwen-32B,template_type,linkedin_plain,0.8447,0.85,0.8474
SYS-B_DeepSeek-R1-Distill-Qwen-32B,template_type,minimal_one_page,0.779,0.849,0.8125
SYS-B_DeepSeek-R1-Distill-Qwen-32B,template_type,modern_two_column,0.7962,0.8356,0.8155
SYS-B_DeepSeek-R1-Distill-Qwen-32B,template_type,project_portfolio_focused,0.823,0.8995,0.8595
SYS-B_DeepSeek-R1-Distill-Qwen-32B,template_type,table_heavy_dense,0.7382,0.7794,0.7582
SYS-B_DeepSeek-R1-Distill-Qwen-32B,title_group,intern_new_grad,0.6847,0.76,0.7204
SYS-B_DeepSeek-R1-Distill-Qwen-32B,title_group,junior,0.7907,0.8239,0.807
