run,relation,precision,recall,f1,tp,fp,fn
BL-1_Qwen2.5-7B-Instruct,AT_COMPANY,0.9951,0.9951,0.9951,203,1,1
BL-1_Qwen2.5-7B-Instruct,AT_INSTITUTION,0.9714,0.9808,0.9761,102,3,2
BL-1_Qwen2.5-7B-Instruct,HAS_CERTIFICATION,0.9753,1.0,0.9875,79,2,0
BL-1_Qwen2.5-7B-Instruct,HAS_EDUCATION,0.991,0.991,0.991,110,1,1
BL-1_Qwen2.5-7B-Instruct,HAS_EXPERIENCE,0.9955,0.9955,0.9955,220,1,1
BL-1_Qwen2.5-7B-Instruct,HAS_PROJECT,0.0,0.0,0.0,0,0,64
BL-1_Qwen2.5-7B-Instruct,HAS_SKILL,0.9582,0.9269,0.9423,849,37,67
BL-1_Qwen2.5-7B-Instruct,PROJECT_USED_SKILL,0.0,0.0,0.0,0,0,263
BL-1_Qwen2.5-7B-Instruct,SPEAKS,0.5909,0.5909,0.5909,78,54,54
BL-1_Qwen2.5-7B-Instruct,USED_SKILL,0.9685,0.9146,0.9408,707,23,66
BL-2_Qwen2.5-7B-Instruct,AT_COMPANY,0.9764,1.0,0.9881,207,5,0
BL-2_Qwen2.5-7B-Instruct,AT_INSTITUTION,0.9623,0.9623,0.9623,102,4,4
BL-2_Qwen2.5-7B-Instruct,HAS_CERTIFICATION,1.0,1.0,1.0,82,0,0
BL-2_Qwen2.5-7B-Instruct,HAS_EDUCATION,0.9821,0.9821,0.9821,110,2,2
BL-2_Qwen2.5-7B-Instruct,HAS_EXPERIENCE,0.9781,1.0,0.9889,223,5,0
BL-2_Qwen2.5-7B-Instruct,HAS_PROJECT,0.0,0.0,0.0,0,0,67
BL-2_Qwen2.5-7B-Instruct,HAS_SKILL,0.9814,0.9106,0.9447,845,16,83
BL-2_Qwen2.5-7B-Instruct,PROJECT_USED_SKILL,0.0,0.0,0.0,0,0,272
BL-2_Qwen2.5-7B-Instruct,SPEAKS,0.9333,0.9333,0.9333,126,9,9
BL-2_Qwen2.5-7B-Instruct,USED_SKILL,0.9333,0.9298,0.9315,728,52,55
SYS-A_Qwen2.5-7B-Instruct,AT_COMPANY,0.7605,0.9756,0.8547,200,63,5
SYS-A_Qwen2.5-7B-Instruct,AT_INSTITUTION,0.8972,0.932,0.9143,96,11,7
SYS-A_Qwen2.5-7B-Instruct,HAS_CERTIFICATION,0.9759,0.9878,0.9818,81,2,1
SYS-A_Qwen2.5-7B-Instruct,HAS_EDUCATION,0.9381,0.9636,0.9507,106,7,4
SYS-A_Qwen2.5-7B-Instruct,HAS_EXPERIENCE,0.7624,0.9685,0.8532,215,67,7
SYS-A_Qwen2.5-7B-Instruct,HAS_PROJECT,0.0,0.0,0.0,0,0,67
SYS-A_Qwen2.5-7B-Instruct,HAS_SKILL,0.9151,0.862,0.8878,787,73,126
SYS-A_Qwen2.5-7B-Instruct,PROJECT_USED_SKILL,0.0,0.0,0.0,0,0,272
SYS-A_Qwen2.5-7B-Instruct,SPEAKS,0.2791,0.3582,0.3137,48,124,86
SYS-A_Qwen2.5-7B-Instruct,USED_SKILL,0.6998,0.8711,0.7761,676,290,100
SYS-B_Qwen2.5-7B-Instruct,AT_COMPANY,0.9904,0.9904,0.9904,207,2,2
SYS-B_Qwen2.5-7B-Instruct,AT_INSTITUTION,0.9167,0.934,0.9252,99,9,7
SYS-B_Qwen2.5-7B-Instruct,HAS_CERTIFICATION,0.9529,0.9759,0.9643,81,4,2
SYS-B_Qwen2.5-7B-Instruct,HAS_EDUCATION,0.8678,0.9292,0.8974,105,16,8
SYS-B_Qwen2.5-7B-Instruct,HAS_EXPERIENCE,0.9558,0.9558,0.9558,216,10,10
SYS-B_Qwen2.5-7B-Instruct,HAS_PROJECT,0.8333,0.5147,0.6364,35,7,33
SYS-B_Qwen2.5-7B-Instruct,HAS_SKILL,0.8447,0.8709,0.8576,816,150,121
SYS-B_Qwen2.5-7B-Instruct,PROJECT_USED_SKILL,0.8663,0.5341,0.6608,149,23,130
SYS-B_Qwen2.5-7B-Instruct,SPEAKS,0.695,0.7259,0.7101,98,43,37
SYS-B_Qwen2.5-7B-Instruct,USED_SKILL,0.7723,0.9508,0.8523,753,222,39
