run,relation,precision,recall,f1,tp,fp,fn
SYS-B_DeepSeek-R1-Distill-Qwen-32B,AT_COMPANY,0.9856,0.9952,0.9904,206,3,1
SYS-B_DeepSeek-R1-Distill-Qwen-32B,AT_INSTITUTION,0.8571,0.8571,0.8571,90,15,15
SYS-B_DeepSeek-R1-Distill-Qwen-32B,HAS_CERTIFICATION,0.9878,0.9878,0.9878,81,1,1
SYS-B_DeepSeek-R1-Distill-Qwen-32B,HAS_EDUCATION,0.875,0.875,0.875,98,14,14
SYS-B_DeepSeek-R1-Distill-Qwen-32B,HAS_EXPERIENCE,0.9867,0.9955,0.9911,222,3,1
SYS-B_DeepSeek-R1-Distill-Qwen-32B,HAS_PROJECT,0.9167,0.6471,0.7586,44,4,24
SYS-B_DeepSeek-R1-Distill-Qwen-32B,HAS_SKILL,0.8501,0.8932,0.8711,828,146,99
SYS-B_DeepSeek-R1-Distill-Qwen-32B,PROJECT_USED_SKILL,0.8579,0.5842,0.6951,163,27,116
SYS-B_DeepSeek-R1-Distill-Qwen-32B,SPEAKS,0.0,0.0,0.0,0,135,135
SYS-B_DeepSeek-R1-Distill-Qwen-32B,USED_SKILL,0.7866,0.9272,0.8511,726,197,57
SYS-B_Llama-3.1-8B-Instruct,AT_COMPANY,0.8367,0.9318,0.8817,82,16,6
SYS-B_Llama-3.1-8B-Instruct,AT_INSTITUTION,0.7105,0.6585,0.6835,27,11,14
SYS-B_Llama-3.1-8B-Instruct,HAS_CERTIFICATION,0.7838,0.725,0.7532,29,8,11
SYS-B_Llama-3.1-8B-Instruct,HAS_EDUCATION,0.65,0.6341,0.642,26,14,15
SYS-B_Llama-3.1-8B-Instruct,HAS_EXPERIENCE,0.7941,0.8804,0.8351,81,21,11
SYS-B_Llama-3.1-8B-Instruct,HAS_PROJECT,0.0,0.0,0.0,0,0,25
SYS-B_Llama-3.1-8B-Instruct,HAS_SKILL,0.894,0.8104,0.8501,312,37,73
SYS-B_Llama-3.1-8B-Instruct,PROJECT_USED_SKILL,0.0,0.0,0.0,0,0,105
SYS-B_Llama-3.1-8B-Instruct,SPEAKS,0.0758,0.0862,0.0806,5,61,53
SYS-B_Llama-3.1-8B-Instruct,USED_SKILL,0.7806,0.8864,0.8301,281,79,36
SYS-B_Qwen2.5-72B-Instruct,AT_COMPANY,1.0,1.0,1.0,194,0,0
SYS-B_Qwen2.5-72B-Instruct,AT_INSTITUTION,0.7526,0.7449,0.7487,73,24,25
SYS-B_Qwen2.5-72B-Instruct,HAS_CERTIFICATION,0.9865,1.0,0.9932,73,1,0
SYS-B_Qwen2.5-72B-Instruct,HAS_EDUCATION,0.7524,0.7596,0.756,79,26,25
SYS-B_Qwen2.5-72B-Instruct,HAS_EXPERIENCE,0.9904,0.9904,0.9904,206,2,2
SYS-B_Qwen2.5-72B-Instruct,HAS_PROJECT,0.8378,0.9538,0.8921,62,12,3
SYS-B_Qwen2.5-72B-Instruct,HAS_SKILL,0.9218,0.9571,0.9391,825,70,37
SYS-B_Qwen2.5-72B-Instruct,PROJECT_USED_SKILL,0.8676,0.9326,0.8989,249,38,18
SYS-B_Qwen2.5-72B-Instruct,SPEAKS,0.1405,0.1429,0.1417,17,104,102
SYS-B_Qwen2.5-72B-Instruct,USED_SKILL,0.925,0.9604,0.9424,703,57,29
SYS-B_Qwen2.5-7B-Instruct,AT_COMPANY,0.9904,0.9904,0.9904,207,2,2
SYS-B_Qwen2.5-7B-Instruct,AT_INSTITUTION,0.9167,0.934,0.9252,99,9,7
SYS-B_Qwen2.5-7B-Instruct,HAS_CERTIFICATION,0.9529,0.9759,0.9643,81,4,2
SYS-B_Qwen2.5-7B-Instruct,HAS_EDUCATION,0.876,0.9381,0.906,106,15,7
SYS-B_Qwen2.5-7B-Instruct,HAS_EXPERIENCE,0.9558,0.9558,0.9558,216,10,10
SYS-B_Qwen2.5-7B-Instruct,HAS_PROJECT,0.8462,0.4853,0.6168,33,6,35
SYS-B_Qwen2.5-7B-Instruct,HAS_SKILL,0.8668,0.8751,0.871,820,126,117
SYS-B_Qwen2.5-7B-Instruct,PROJECT_USED_SKILL,0.8994,0.5125,0.653,143,16,136
SYS-B_Qwen2.5-7B-Instruct,SPEAKS,0.6761,0.7111,0.6931,96,46,39
SYS-B_Qwen2.5-7B-Instruct,USED_SKILL,0.7657,0.9533,0.8493,755,231,37
SYS-B_gpt-oss-20b,AT_COMPANY,0.9936,1.0,0.9968,156,1,0
SYS-B_gpt-oss-20b,AT_INSTITUTION,0.7765,0.7765,0.7765,66,19,19
SYS-B_gpt-oss-20b,HAS_CERTIFICATION,0.9818,0.9818,0.9818,54,1,1
SYS-B_gpt-oss-20b,HAS_EDUCATION,0.7841,0.7841,0.7841,69,19,19
SYS-B_gpt-oss-20b,HAS_EXPERIENCE,0.9939,1.0,0.997,164,1,0
SYS-B_gpt-oss-20b,HAS_PROJECT,1.0,0.975,0.9873,39,0,1
SYS-B_gpt-oss-20b,HAS_SKILL,0.8456,0.925,0.8835,641,117,52
SYS-B_gpt-oss-20b,PROJECT_USED_SKILL,0.9936,0.9341,0.963,156,1,11
SYS-B_gpt-oss-20b,SPEAKS,0.0833,0.0833,0.0833,9,99,99
SYS-B_gpt-oss-20b,USED_SKILL,0.7799,0.9313,0.8489,542,153,40
