"run","relation","precision","recall","f1","true_positives","false_positives","false_negatives"
"BL-1_Qwen2.5-7B-Instruct","AT_COMPANY","1","1","1","92","0","0"
"BL-1_Qwen2.5-7B-Instruct","AT_INSTITUTION","0,978","1","0,989","44","1","0"
"BL-1_Qwen2.5-7B-Instruct","HAS_CERTIFICATION","1","0,771","0,871","74","0","22"
"BL-1_Qwen2.5-7B-Instruct","HAS_EDUCATION","0,98","1","0,99","48","1","0"
"BL-1_Qwen2.5-7B-Instruct","HAS_EXPERIENCE","1","1","1","103","0","0"
"BL-1_Qwen2.5-7B-Instruct","HAS_SKILL","0,968","0,894","0,93","429","14","51"
"BL-1_Qwen2.5-7B-Instruct","SPEAKS","0","0","0","0","0","96"
"BL-1_Qwen2.5-7B-Instruct","USED_SKILL","0,771","0,538","0,634","263","78","226"
"BL-2_Qwen2.5-7B-Instruct","AT_COMPANY","1","1","1","95","0","0"
"BL-2_Qwen2.5-7B-Instruct","AT_INSTITUTION","1","1","1","46","0","0"
"BL-2_Qwen2.5-7B-Instruct","HAS_CERTIFICATION","1","0,76","0,864","76","0","24"
"BL-2_Qwen2.5-7B-Instruct","HAS_EDUCATION","0,962","1","0,98","50","2","0"
"BL-2_Qwen2.5-7B-Instruct","HAS_EXPERIENCE","1","1","1","106","0","0"
"BL-2_Qwen2.5-7B-Instruct","HAS_SKILL","0,991","0,902","0,944","451","4","49"
"BL-2_Qwen2.5-7B-Instruct","SPEAKS","0","0","0","0","0","100"
"BL-2_Qwen2.5-7B-Instruct","USED_SKILL","0,85","0,583","0,692","294","52","210"
"SYS-A_Qwen2.5-7B-Instruct","AT_COMPANY","0,947","0,957","0,952","90","5","4"
"SYS-A_Qwen2.5-7B-Instruct","AT_INSTITUTION","0,93","0,889","0,909","40","3","5"
"SYS-A_Qwen2.5-7B-Instruct","HAS_CERTIFICATION","1","0,755","0,86","74","0","24"
"SYS-A_Qwen2.5-7B-Instruct","HAS_EDUCATION","0,863","0,898","0,88","44","7","5"
"SYS-A_Qwen2.5-7B-Instruct","HAS_EXPERIENCE","0,952","0,952","0,952","100","5","5"
"SYS-A_Qwen2.5-7B-Instruct","HAS_SKILL","0,962","0,839","0,896","411","16","79"
"SYS-A_Qwen2.5-7B-Instruct","SPEAKS","0","0","0","0","36","98"
"SYS-A_Qwen2.5-7B-Instruct","USED_SKILL","0,616","0,633","0,624","316","197","183"
"SYS-B_Qwen2.5-7B-Instruct","AT_COMPANY","0,947","0,947","0,947","90","5","5"
"SYS-B_Qwen2.5-7B-Instruct","AT_INSTITUTION","0,915","0,935","0,925","43","4","3"
"SYS-B_Qwen2.5-7B-Instruct","HAS_CERTIFICATION","1","0,76","0,864","76","0","24"
"SYS-B_Qwen2.5-7B-Instruct","HAS_EDUCATION","0,904","0,94","0,922","47","5","3"
"SYS-B_Qwen2.5-7B-Instruct","HAS_EXPERIENCE","0,953","0,953","0,953","101","5","5"
"SYS-B_Qwen2.5-7B-Instruct","HAS_SKILL","0,901","0,878","0,89","439","48","61"
"SYS-B_Qwen2.5-7B-Instruct","SPEAKS","0","0","0","0","1","100"
"SYS-B_Qwen2.5-7B-Instruct","USED_SKILL","0,527","0,655","0,584","330","296","174"
